drug_name,base_dosage
Aspirin(500mg),500
Ibuprofen(400mg),400
Paracetamol(1000mg),1000
Amoxicillin(500mg),500
Lisinopril(10mg),10
Atorvastatin(20mg),20
Metformin(500mg),500
Levothyroxine(100mg),100
Losartan(50mg),50
Simvastatin(20mg),20
Omeprazole(20mg),20
Amlodipine(5mg),5
Hydrochlorothiazide(25mg),25
Gabapentin(300mg),300
Sertraline(50mg),50
Montelukast(10mg),10
Pantoprazole(40mg),40
Prednisone(10mg),10
Clopidogrel(75mg),75
Warfarin(5mg),5
Digoxin(0.25mg),0.25
Fluoxetine(20mg),20
Tramadol(50mg),50
Gemfibrozil,600
Calcium,600
